ID,Cq_mean,target_name,quantity_mean,Plate,ng.ul,dil.factor,genomeCopy,ACT_genomeCopy,PresentAbs,NormGenomeCopy,Colony,Treatment,Time,Exp,DateInnoc,DateFed,ColonyID,rounds.of.flowers,X.bees.taken,DateMicroMade,NumBeesAfTrans,DateMicroTrans,DateSacrificed,notes
56,27.414,DWV,156.857,39,76.82,3.8,149014.15,343146707,1,292336.7596,4,T,60,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,26.279,DWV,327.089,39,62.19,3.1,253493.975,533349652.5,1,319956.8258,3,T,54,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,26.802,DWV,233.398,39,46.05,2.3,134203.85,158059197,1,571585.1777,2,T,58,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,25.67,DWV,487.608,40,37.91,1.9,231613.8,890243052.5,1,175142.5197,2,T,75,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,24.076,DWV,1362.725,40,54,2.7,919839.375,1415949863,1,437320.5393,2,T,76,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,24.315,DWV,1168.585,40,20.86,1,292146.25,310161050,1,634086.9458,1,T,74,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,34.018,DWV,2.186,41,32.88,1.6,874.4,213621176,1,2755.507528,1,T,NA,Trans,NA,NA,12,2,4,9/3/18,8,7-Sep,11-Sep,
222,33.361,DWV,3.338,41,42.53,2.1,1752.45,295973580,0,3985.918777,1,T,NA,Trans,NA,NA,15,2,5,9/3/18,9,7-Sep,11-Sep,
219,33.524,DWV,3.365,41,40.13,2,1682.5,83492345,1,13565.76122,1,T,NA,Trans,NA,NA,12,2,4,9/3/18,8,7-Sep,11-Sep,
28,26.618,DWV,263.069,41,21.12,1.1,72343.975,1482821.45,1,32843487.18,2,T,86,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,24.769,DWV,871.928,41,21,1.1,239780.2,1840392.675,1,87707872.49,1,T,30,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
